"Name","Team","Goals","Assists","Turnovers","Stops (Quaffle)","Beater Shifts","0 Bludgers","1 Bludger","2 Bludgers","BS","Stops (Beater)","Plus - Minus","Catches","Games Rostered"
"Max Chang","KC","0","0","0","0","0","0","0","0","0%","0","0","0","0"
"Max Havlin","BOS","0","0","0","0","88","3","22","63","71.59%","14","21","0","9"
"Max Meier","MPLS","25","8","26","18","0","0","0","0","0%","0","0","0","9"
"Max Wallerstedt","KC","3","1","1","2","0","0","0","0","0%","0","0","0","3"
"Maya Hinebaugh","SA","0","0","2","0","88","7","22","58","65.91%","10","6","0","6"
"Meg Howden","OTT","1","0","1","0","94","30","50","14","14.89%","3","-51","-3","15"
"Mel Kite","SA","11","4","4","4","11","2","2","7","63.64%","0","-2","0","3"
"Melanie Rolfe","IND","1","1","2","1","0","0","0","0","0%","0","0","0","6"
"Melinda Staup","CLE","4","2","7","8","0","0","0","0","0%","0","0","0","6"
"Melissa Ross","CLT","2","1","5","1","0","0","0","0","0%","0","0","0","12"
"Melissa Smith","WAS","0","0","0","0","74","4","17","33","44.59%","12","28","0","9"
"Meredith McDowell","MPLS","0","0","0","0","9","0","8","1","11.11%","1","3","0","3"
"Micayla Gutierrez","KC","0","0","0","0","7","0","3","4","57.14%","0","0","0","3"
"Michael Howard","TOR","2","27","18","16","0","0","0","0","0%","0","0","0","3"
"Michael Johnston","NYC","12","9","6","12","0","0","0","0","0%","0","0","0","6"
"Michael Li","NYC","18","13","21","11","0","0","0","0","0%","0","0","0","6"
"Michael Mrowiec","IND","0","0","0","0","10","1","2","7","70.0%","0","-3","0","3"
"Michael Sanders-Valdes","NO","0","0","0","0","102","15","36","51","50.0%","8","-32","0","12"
"Michael Wanless","TOR","4","4","9","8","0","0","0","0","0%","0","0","0","3"
"Micki Haralson","CLT","0","0","0","0","15","1","9","5","33.33%","0","-5","0","9"
"Miguel Esparza","SA","47","22","15","26","5","0","4","1","20.0%","0","1","0","6"
